KCH,avg_pjf,avg_yxl,avg_aplus,max_aplus,max_yxl,min_yxl,avg_xkrs,avg_jgl,min_jgl
0208570001,80.32,0.0,0.0,0,0.0,0.0,22.0,100.0,100.0
2205850001,78.98,0.0,0.0,0,0.0,0.0,57.0,100.0,100.0
5201880001,70.235,3.46,2.0,3,5.0,1.92,52.0,100.0,100.0
2201990039,87.6,10.0,3.0,3,10.0,10.0,30.0,100.0,100.0
1305020001,74.62,9.52,2.0,2,9.52,9.52,21.0,100.0,100.0
2204510001R,80.94,0.0,0.0,0,0.0,0.0,38.0,100.0,100.0
1704440001,75.785,1.64,1.0,2,3.28,0.0,61.0,100.0,100.0
1901990041,68.45500000000001,1.315,1.5,3,2.63,0.0,84.0,100.0,100.0
0201130001R,89.015,10.675,4.0,5,10.71,10.64,37.5,100.0,100.0
0902590001R,72.08,8.33,1.0,1,8.33,8.33,12.0,100.0,100.0
9000190001,90.6,30.0,3.0,3,30.0,30.0,10.0,100.0,100.0
5601000001,81.05,0.0,0.0,0,0.0,0.0,60.0,100.0,100.0
2201990042,85.07,4.88,2.0,2,4.88,4.88,41.0,100.0,100.0
0208450001,79.64,7.14,1.0,1,7.14,7.14,14.0,100.0,100.0
1101980024R,88.73,4.55,1.0,1,4.55,4.55,22.0,100.0,100.0
9901850001,72.87,33.33,10.0,10,33.33,33.33,30.0,100.0,100.0
1201980016,71.49,7.94,5.0,5,7.94,7.94,58.0,100.0,100.0
2801000013,88.41,10.87,10.0,10,10.87,10.87,92.0,100.0,100.0
0510260001,77.075,0.0,0.0,0,0.0,0.0,14.0,100.0,100.0
1803600001R,82.75,8.33,1.0,1,8.33,8.33,12.0,100.0,100.0
2201990022,81.82,0.0,0.0,0,0.0,0.0,166.0,100.0,100.0
2201990024,84.3,7.41,2.0,2,7.41,7.41,27.0,100.0,100.0
2205800001,82.6,6.67,2.0,2,6.67,6.67,30.0,100.0,100.0
0710570001,81.71333333333332,6.6933333333333325,1.3333333333333333,2,9.52,5.0,19.666666666666668,100.0,100.0
